Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
1170.50000,1015.36335,1015.36335,1015.36335
4.50000,4.00282,4.00282,4.00282
1175.00000,1021.47385,1021.47385,1021.47385
0.16392,0.14044,0.14044,0.14044
9.03950,8.96206,8.96206,8.96206
0.16057,0.20291,0.26580,0.26580
9.60150,9.53530,9.53530,9.53530
2.15858,1.93286,1.93286,1.93286
0.46832,0.41937,0.41937,0.41937
0.99213,0.98906,0.98906,0.98906
10000000000.00000,9991566009.24997,9991566009.24997,9991566009.24997
