,cdf,Time Between Tokens
0,0.0,0.0
1,0.01,0.0
2,0.02,0.0
3,0.03,0.0
4,0.04,0.0
5,0.05,0.0
6,0.06,0.0
7,0.07,0.0
8,0.08,0.0
9,0.09,0.0
10,0.1,0.0
11,0.11,0.0
12,0.12,0.0
13,0.13,0.0
14,0.14,0.0
15,0.15,0.0
16,0.16,0.0
17,0.17,0.0
18,0.18,0.0
19,0.19,0.0
20,0.2,0.0
21,0.21,0.0
22,0.22,0.0
23,0.23,0.0
24,0.24,0.0
25,0.25,0.0
26,0.26,0.0
27,0.27,0.0
28,0.28,0.0
29,0.29,0.0
30,0.3,0.0
31,0.31,0.0
32,0.32,0.0
33,0.33,0.0
34,0.34,0.09301436906695841
35,0.35000000000000003,0.09301436906695841
36,0.36,0.09301436906695841
37,0.37,0.09301436906695841
38,0.38,0.09301436906695841
39,0.39,0.09301436906695841
40,0.4,0.09301436906695841
41,0.41000000000000003,0.09301436906695841
42,0.42,0.09301436906695841
43,0.43,0.09301436906695841
44,0.44,0.09301436906695841
45,0.45,0.09301436906695841
46,0.46,0.09301436906695841
47,0.47000000000000003,0.09301436906695841
48,0.48,0.09301436906695841
49,0.49,0.09301436906695841
50,0.5,0.20290831916857138
51,0.51,0.20290831916857138
52,0.52,0.20290831916857138
53,0.53,0.20290831916857138
54,0.54,0.20290831916857138
55,0.55,0.20290831916857138
56,0.56,0.20290831916857138
57,0.5700000000000001,0.20290831916857138
58,0.58,0.20290831916857138
59,0.59,0.20290831916857138
60,0.6,0.20290831916857138
61,0.61,0.20290831916857138
62,0.62,0.20290831916857138
63,0.63,0.20290831916857138
64,0.64,0.20290831916857138
65,0.65,0.20290831916857138
66,0.66,0.20290831916857138
67,0.67,0.264741621192242
68,0.68,0.264741621192242
69,0.6900000000000001,0.264741621192242
70,0.7000000000000001,0.264741621192242
71,0.71,0.264741621192242
72,0.72,0.264741621192242
73,0.73,0.264741621192242
74,0.74,0.264741621192242
75,0.75,0.264741621192242
76,0.76,0.264741621192242
77,0.77,0.264741621192242
78,0.78,0.264741621192242
79,0.79,0.264741621192242
80,0.8,0.264741621192242
81,0.81,0.264741621192242
82,0.8200000000000001,0.264741621192242
83,0.8300000000000001,0.264741621192242
84,0.84,0.26580270879112106
85,0.85,0.26580270879112106
86,0.86,0.26580270879112106
87,0.87,0.26580270879112106
88,0.88,0.26580270879112106
89,0.89,0.26580270879112106
90,0.9,0.26580270879112106
91,0.91,0.26580270879112106
92,0.92,0.26580270879112106
93,0.93,0.26580270879112106
94,0.9400000000000001,0.26580270879112106
95,0.9500000000000001,0.26580270879112106
96,0.96,0.26580270879112106
97,0.97,0.26580270879112106
98,0.98,0.26580270879112106
99,0.99,0.26580270879112106
100,1.0,0.29670974577145753
