,cdf,Number of Prompt Tokens
0,0.0,1015.3633499553291
1,0.01,1015.3633499553291
2,0.02,1015.3633499553291
3,0.03,1015.3633499553291
4,0.04,1015.3633499553291
5,0.05,1015.3633499553291
6,0.06,1015.3633499553291
7,0.07,1015.3633499553291
8,0.08,1015.3633499553291
9,0.09,1015.3633499553291
10,0.1,1015.3633499553291
11,0.11,1015.3633499553291
12,0.12,1015.3633499553291
13,0.13,1015.3633499553291
14,0.14,1015.3633499553291
15,0.15,1015.3633499553291
16,0.16,1015.3633499553291
17,0.17,1015.3633499553291
18,0.18,1015.3633499553291
19,0.19,1015.3633499553291
20,0.2,1015.3633499553291
21,0.21,1015.3633499553291
22,0.22,1015.3633499553291
23,0.23,1015.3633499553291
24,0.24,1015.3633499553291
25,0.25,1015.3633499553291
26,0.26,1015.3633499553291
27,0.27,1015.3633499553291
28,0.28,1015.3633499553291
29,0.29,1015.3633499553291
30,0.3,1015.3633499553291
31,0.31,1015.3633499553291
32,0.32,1015.3633499553291
33,0.33,1015.3633499553291
34,0.34,1015.3633499553291
35,0.35000000000000003,1015.3633499553291
36,0.36,1015.3633499553291
37,0.37,1015.3633499553291
38,0.38,1015.3633499553291
39,0.39,1015.3633499553291
40,0.4,1015.3633499553291
41,0.41000000000000003,1015.3633499553291
42,0.42,1015.3633499553291
43,0.43,1015.3633499553291
44,0.44,1015.3633499553291
45,0.45,1015.3633499553291
46,0.46,1015.3633499553291
47,0.47000000000000003,1015.3633499553291
48,0.48,1015.3633499553291
49,0.49,1015.3633499553291
50,0.5,1015.3633499553291
51,0.51,1015.3633499553291
52,0.52,1015.3633499553291
53,0.53,1015.3633499553291
54,0.54,1015.3633499553291
55,0.55,1015.3633499553291
56,0.56,1015.3633499553291
57,0.5700000000000001,1015.3633499553291
58,0.58,1015.3633499553291
59,0.59,1015.3633499553291
60,0.6,1015.3633499553291
61,0.61,1015.3633499553291
62,0.62,1015.3633499553291
63,0.63,1015.3633499553291
64,0.64,1015.3633499553291
65,0.65,1015.3633499553291
66,0.66,1015.3633499553291
67,0.67,1015.3633499553291
68,0.68,1015.3633499553291
69,0.6900000000000001,1015.3633499553291
70,0.7000000000000001,1015.3633499553291
71,0.71,1015.3633499553291
72,0.72,1015.3633499553291
73,0.73,1015.3633499553291
74,0.74,1015.3633499553291
75,0.75,1015.3633499553291
76,0.76,1015.3633499553291
77,0.77,1015.3633499553291
78,0.78,1015.3633499553291
79,0.79,1015.3633499553291
80,0.8,1015.3633499553291
81,0.81,1015.3633499553291
82,0.8200000000000001,1015.3633499553291
83,0.8300000000000001,1015.3633499553291
84,0.84,1015.3633499553291
85,0.85,1015.3633499553291
86,0.86,1015.3633499553291
87,0.87,1015.3633499553291
88,0.88,1015.3633499553291
89,0.89,1015.3633499553291
90,0.9,1015.3633499553291
91,0.91,1015.3633499553291
92,0.92,1015.3633499553291
93,0.93,1015.3633499553291
94,0.9400000000000001,1015.3633499553291
95,0.9500000000000001,1015.3633499553291
96,0.96,1015.3633499553291
97,0.97,1015.3633499553291
98,0.98,1015.3633499553291
99,0.99,1015.3633499553291
100,1.0,1324.780277456438
