,cdf,Normalized End to End Latency
0,0.0,0.021173565515246733
1,0.01,0.021774803602925667
2,0.02,0.02217029897967988
3,0.03,0.022259157804389196
4,0.04,0.02284548533117115
5,0.05,0.024016798811622882
6,0.06,0.024064880490925433
7,0.07,0.024064880490925433
8,0.08,0.024501970494117235
9,0.09,0.024649424285245334
10,0.1,0.02484741063499535
11,0.11,0.0249469993553874
12,0.12,0.024996943298040815
13,0.13,0.025349361795013157
14,0.14,0.025349361795013157
15,0.15,0.02555297010457077
16,0.16,0.02580978180965111
17,0.17,0.026121365055713178
18,0.18,0.026226059800731324
19,0.19,0.02638388922693599
20,0.2,0.02638388922693599
21,0.21,0.026489636171986894
22,0.22,0.026649051810827114
23,0.23,0.02686309934521446
24,0.24,0.026916879323883557
25,0.25,0.026970766970177622
26,0.26,0.027351013348484454
27,0.27,0.027405770131964907
28,0.28,0.027515612787962093
29,0.29,0.027625895694644402
30,0.3,0.028071465225079487
31,0.31,0.02858132675667759
32,0.32,0.02881089449384189
33,0.33,0.028868573962298034
34,0.34,0.02904230613931724
35,0.35000000000000003,0.029158708051296542
36,0.36,0.029392913365939858
37,0.37,0.029628999838325495
38,0.38,0.029926776336993432
39,0.39,0.03010687681618519
40,0.4,0.030715076276659904
41,0.41000000000000003,0.030776567920857405
42,0.42,0.031023768028655918
43,0.43,0.031210470245606282
44,0.44,0.03152414079143062
45,0.45,0.03171385427071461
46,0.46,0.03171385427071461
47,0.47000000000000003,0.031840963779705946
48,0.48,0.03203258391179361
49,0.49,0.03203258391179361
50,0.5,0.032549227554047225
51,0.51,0.03314041860446005
52,0.52,0.03327324580044266
53,0.53,0.03340660536942283
54,0.54,0.03347348546025249
55,0.55,0.03387758718159356
56,0.56,0.03394541017895408
57,0.5700000000000001,0.03504923060839133
58,0.58,0.03526015821238024
59,0.59,0.03533074911971233
60,0.6,0.03540148135018221
61,0.61,0.03540148135018221
62,0.62,0.03568582917052709
63,0.63,0.03597246089764227
64,0.64,0.03604447783637629
65,0.65,0.036333990261205665
66,0.66,0.036699153056495896
67,0.67,0.036846243702924095
68,0.68,0.03714219598190319
69,0.6900000000000001,0.03736571913118091
70,0.7000000000000001,0.03759058745127963
71,0.71,0.03781680903748858
72,0.72,0.03804439203381469
73,0.73,0.038120556982831344
74,0.74,0.038503675078196
75,0.75,0.03865799827057034
76,0.76,0.03904651774248419
77,0.77,0.04096646126348448
78,0.78,0.04171053438244991
79,0.79,0.041877710705449364
80,0.8,0.04221407617112971
81,0.81,0.042894933954175915
82,0.8200000000000001,0.04341277416141325
83,0.8300000000000001,0.044289770669018014
84,0.84,0.04455630819484311
85,0.85,0.04563859545003733
86,0.86,0.04684075974714052
87,0.87,0.047028498075046575
88,0.88,0.0491439513861072
89,0.89,0.049637856474173424
90,0.9,0.05281281125300059
91,0.91,0.053557390753811995
92,0.92,0.058835995422023425
93,0.93,0.06322841842107449
94,0.9400000000000001,0.0656773338513936
95,0.9500000000000001,0.093761468682461
96,0.96,0.09719837585163005
97,0.97,0.10571576496756607
98,0.98,0.14384756070597216
99,0.99,0.20950639374832422
100,1.0,0.7905703924151583
