,cdf,End to End Latency
0,0.0,4.108261601388884
1,0.01,4.1412595208885286
2,0.02,8.457048296938083
3,0.03,9.216545016993011
4,0.04,12.416178496505779
5,0.05,12.948764182472633
6,0.06,13.477213453290293
7,0.07,13.58546362033439
8,0.08,13.915458961687523
9,0.09,13.915458961687523
10,0.1,14.168205199271082
11,0.11,14.924443930554403
12,0.12,15.044318380426558
13,0.13,15.10461618926814
14,0.14,15.721047479445145
15,0.15,15.815657341615443
16,0.16,15.910836569537713
17,0.17,16.167457533342063
18,0.18,16.362635816365206
19,0.19,16.461106781569853
20,0.2,16.8947080935399
21,0.21,16.962422286585962
22,0.22,17.030407878931406
23,0.23,17.23600395129705
24,0.24,17.30508606224202
25,0.25,17.69001679657978
26,0.26,17.832104571614245
27,0.27,18.192337100740414
28,0.28,18.559846812126228
29,0.29,18.708921138557923
30,0.3,18.93478071465443
31,0.31,18.972688183552638
32,0.32,19.01067154327947
33,0.33,19.08686654325755
34,0.34,19.201732032677477
35,0.35000000000000003,19.550492755533178
36,0.36,19.905588013294363
37,0.37,19.985369849237582
38,0.38,20.145894102423608
39,0.39,20.47082099980388
40,0.4,20.5118036244281
41,0.41000000000000003,20.594015179825057
42,0.42,20.594015179825057
43,0.43,20.800988542652856
44,0.44,20.842632163358868
45,0.45,20.842632163358868
46,0.46,21.178796533510287
47,0.47000000000000003,21.306251337243193
48,0.48,21.73666631011355
49,0.49,21.955123511566782
50,0.5,22.175776245130884
51,0.51,22.26465702278593
52,0.52,22.533442484002983
53,0.53,22.533442484002983
54,0.54,22.57855448096794
55,0.55,22.89687741106054
56,0.56,22.89687741106054
57,0.5700000000000001,22.942717005477082
58,0.58,22.988648370853415
59,0.59,23.35942517292192
60,0.6,23.688757180096744
61,0.61,24.022732262610404
62,0.62,24.16730197981858
63,0.63,24.21568496676515
64,0.64,24.312741723088106
65,0.65,24.655514029012366
66,0.66,24.70487441745884
67,0.67,25.304963872946626
68,0.68,25.50821557447864
69,0.6900000000000001,25.66172498680418
70,0.7000000000000001,26.285056654635955
71,0.71,26.869735986699773
72,0.72,27.194115310062983
73,0.73,27.522410635633197
74,0.74,27.85466923853611
75,0.75,28.47426270638485
76,0.76,28.991440241586453
77,0.77,29.165911832551437
78,0.78,29.518011263308665
79,0.79,29.874361341528978
80,0.8,29.99409814075676
81,0.81,30.600019320094326
82,0.8200000000000001,31.28067978403353
83,0.8300000000000001,32.23331863093885
84,0.84,32.29784979936916
85,0.85,32.81877183311004
86,0.86,33.81825257239694
87,0.87,34.08988375956996
88,0.88,35.90945723986225
89,0.89,36.12556172046482
90,0.9,37.750575111994586
91,0.91,39.448685457506215
92,0.92,39.765540778173616
93,0.93,39.845151470422216
94,0.9400000000000001,40.65007719469447
95,0.9500000000000001,41.720839145102175
96,0.96,42.648868811730225
97,0.97,90.83103324131827
98,0.98,96.4477125850635
99,0.99,109.18034588064906
100,1.0,117.80151002307434
