,cdf,Output Throughput
0,0.0,3.8767607692564843
1,0.01,8.819809098882674
2,0.02,9.554385390965288
3,0.03,9.669728730021793
4,0.04,9.964215911593758
5,0.05,10.064357979915881
6,0.06,10.496063516370434
7,0.07,10.58036882420654
8,0.08,11.145104059445735
9,0.09,11.30223290413684
10,0.1,11.576767826866368
11,0.11,11.646437256330875
12,0.12,11.73998246750052
13,0.13,11.953215563593659
14,0.14,12.292635415290063
15,0.15,12.416178496505779
16,0.16,12.490899531333268
17,0.17,12.667002024593316
18,0.18,12.845587292456953
19,0.19,12.974687634289394
20,0.2,13.078901469636337
21,0.21,13.236793799175965
22,0.22,13.343112894355036
23,0.23,13.58546362033439
24,0.24,13.80457936278718
25,0.25,13.9433177383876
26,0.26,13.999202723426244
27,0.27,14.168205199271082
28,0.28,14.310598076508555
29,0.29,14.454422026433278
30,0.3,14.62892004304429
31,0.31,14.775943182990996
32,0.32,14.89462486176209
33,0.33,15.10461618926814
34,0.34,15.47151224189346
35,0.35000000000000003,15.65828886950585
36,0.36,15.815657341615443
37,0.37,16.102916849117836
38,0.38,16.29731597809612
39,0.39,16.428217457330952
40,0.4,16.560170348791516
41,0.41000000000000003,16.693183097513522
42,0.42,16.996381089962515
43,0.43,17.064502789599942
44,0.44,17.09866595834788
45,0.45,17.270510465714064
46,0.46,17.40922872890176
47,0.47000000000000003,17.479005126836842
48,0.48,17.549061189413283
49,0.49,17.584194445047736
50,0.5,17.76091859646407
51,0.51,17.832104571614245
52,0.52,17.832104571614245
53,0.53,18.0113202620591
54,0.54,18.08350985009381
55,0.55,18.192337100740414
56,0.56,18.228758196037194
57,0.5700000000000001,18.33845955675871
58,0.58,18.63423490116471
59,0.59,18.821512138145472
60,0.6,18.93478071465443
61,0.61,19.163366933711085
62,0.62,19.27869280539285
63,0.63,19.550492755533178
64,0.64,19.786512030698223
65,0.65,19.905588013294363
66,0.66,19.985369849237582
67,0.67,20.348363772040837
68,0.68,20.5118036244281
69,0.6900000000000001,20.884359154676908
70,0.7000000000000001,21.263681404501444
71,0.71,21.391647048619195
72,0.72,21.520382794854417
73,0.73,21.9112571309243
74,0.74,22.175776245130884
75,0.75,22.22017219356959
76,0.76,22.57855448096794
77,0.77,23.034671690915182
78,0.78,23.31275299475424
79,0.79,23.35942517292192
80,0.8,23.83131702254522
81,0.81,23.926833227529155
82,0.8200000000000001,24.16730197981858
83,0.8300000000000001,24.312741723088106
84,0.84,24.459056728268965
85,0.85,25.10333169881963
86,0.86,25.355624461280854
87,0.87,25.50821557447864
88,0.88,25.61045280900837
89,0.89,26.180126393469997
90,0.9,26.977430211401757
91,0.91,27.194115310062983
92,0.92,27.577510556825658
93,0.93,27.79901555374385
94,0.9400000000000001,28.19093896461661
95,0.9500000000000001,29.165911832551437
96,0.96,30.174603765126243
97,0.97,31.595055947686337
98,0.98,33.61595050264383
99,0.99,37.67514938749509
100,1.0,41.720839145102175
