Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2948.84252,2246.21548,6241.66600,7339.32729
722.18110,647.42416,1222.92630,1637.62445
3671.02362,3026.01597,6802.20730,7887.24748
0.01967,0.01958,0.02199,0.02455
23.90766,23.59419,30.90755,36.12556
0.01968,0.01600,0.03197,0.18693
38.13646,37.44978,49.35311,60.15959
0.06030,0.05619,0.08621,0.10699
18.60909,17.76092,26.97743,37.67515
0.42006,0.42359,0.57178,0.63699
0.36666,0.33187,0.60471,0.77492
