,cdf,Normalized End to End Latency
0,0.0,0.02881089449384189
1,0.01,0.02881089449384189
2,0.02,0.028984279553624294
3,0.03,0.030592461324073388
4,0.04,0.031085877674358935
5,0.05,0.031085877674358935
6,0.06,0.031210470245606282
7,0.07,0.03203258391179361
8,0.08,0.03216097089301623
9,0.09,0.03294217136321616
10,0.1,0.03294217136321616
11,0.11,0.033339858905148255
12,0.12,0.033674930169957415
13,0.13,0.03518970834582203
14,0.14,0.03561452881254402
15,0.15,0.03561452881254402
16,0.16,0.036261394876068394
17,0.17,0.036479617330762514
18,0.18,0.03766584388261353
19,0.19,0.03804439203381469
20,0.2,0.03804439203381469
21,0.21,0.0381968744142284
22,0.22,0.04096646126348448
23,0.23,0.043936865887315185
24,0.24,0.043936865887315185
25,0.25,0.044289770669018014
26,0.26,0.044467284602046214
27,0.27,0.04473489041347754
28,0.28,0.04491418839179008
29,0.29,0.04491418839179008
30,0.3,0.045184483687239964
31,0.31,0.04554740944514214
32,0.32,0.04731151736665383
33,0.33,0.049936578983954726
34,0.34,0.049936578983954726
35,0.35000000000000003,0.05114955477104179
36,0.36,0.05420395126272135
37,0.37,0.05420395126272135
38,0.38,0.05607857423581017
39,0.39,0.05607857423581017
40,0.4,0.05813418254203852
41,0.41000000000000003,0.05825056729187244
42,0.42,0.05919007268213019
43,0.43,0.05919007268213019
44,0.44,0.05954628079266658
45,0.45,0.06272460883111167
46,0.46,0.06335500184133688
47,0.47000000000000003,0.06620485998912709
48,0.48,0.06620485998912709
49,0.49,0.06687023011670269
50,0.5,0.06973859475784315
51,0.51,0.07128984555170034
52,0.52,0.07331417019270454
53,0.53,0.07331417019270454
54,0.54,0.07676539274639282
55,0.55,0.08249634153398193
56,0.56,0.08315895942472995
57,0.5700000000000001,0.08672602085687463
58,0.58,0.08672602085687463
59,0.59,0.08883262418353823
60,0.6,0.09062716283432032
61,0.61,0.09172124049005448
62,0.62,0.09172124049005448
63,0.63,0.10055994459475051
64,0.64,0.10320878980828974
65,0.65,0.10699199664792114
66,0.66,0.11991151214539592
67,0.67,0.11991151214539592
68,0.68,0.12430697161877663
69,0.6900000000000001,0.15182888811564332
70,0.7000000000000001,0.1592944165901874
71,0.71,0.17996352785198813
72,0.72,0.17996352785198813
73,0.73,0.18213610027412055
74,0.74,0.2154554732003914
75,0.75,0.21718603056266375
76,0.76,0.21762083743065702
77,0.77,0.21762083743065702
78,0.78,0.22335317863189402
79,0.79,0.22604956362769368
80,0.8,0.2533455383920093
81,0.81,0.2533455383920093
82,0.8200000000000001,0.2733503611795853
83,0.8300000000000001,0.2733503611795853
84,0.84,0.28337025345766775
85,0.85,0.2984953563160937
86,0.86,0.2984953563160937
87,0.87,0.3008928973430347
88,0.88,0.30574590585585465
89,0.89,0.3240035275765469
90,0.9,0.33790149473597514
91,0.91,0.33790149473597514
92,0.92,0.37343891760446246
93,0.93,0.3802216821292739
94,0.9400000000000001,0.38635416008546986
95,0.9500000000000001,0.3879026722015318
96,0.96,0.3879026722015318
97,0.97,0.4094253050131861
98,0.98,0.41519757280188396
99,0.99,0.5537728485410363
100,1.0,0.691424979692188
