,cdf,End to End Latency
0,0.0,16.65983008433167
1,0.01,16.65983008433167
2,0.02,22.533442484002983
3,0.03,22.805472802038963
4,0.04,23.736182119396236
5,0.05,23.736182119396236
6,0.06,24.21568496676515
7,0.07,24.508023808806044
8,0.08,25.61045280900837
9,0.09,26.60237755784151
10,0.1,26.60237755784151
11,0.11,26.655635570970322
12,0.12,27.35777053117292
13,0.13,27.68804155050934
14,0.14,28.81801234629703
15,0.15,28.81801234629703
16,0.16,29.107638282436444
17,0.17,29.518011263308665
18,0.18,29.755102533038666
19,0.19,29.874361341528978
20,0.2,29.874361341528978
21,0.21,30.907554730065282
22,0.22,31.28067978403353
23,0.23,32.16891639591199
24,0.24,32.16891639591199
25,0.25,32.42729996945664
26,0.26,32.687758902651446
27,0.27,33.75068363618836
28,0.28,33.953796535067895
29,0.29,33.953796535067895
30,0.3,34.295037977704055
31,0.31,34.43249290200854
32,0.32,34.77854532472673
33,0.33,34.98784393437458
34,0.34,34.98784393437458
35,0.35000000000000003,34.98784393437458
36,0.36,35.05788966797693
37,0.37,35.48111878100839
38,0.38,35.981348045147264
39,0.39,35.981348045147264
40,0.4,36.12556172046482
41,0.41000000000000003,36.41572541820215
42,0.42,36.634876639973626
43,0.43,36.634876639973626
44,0.44,36.85534672213993
45,0.45,37.9777595100358
46,0.46,40.004851316295785
47,0.47000000000000003,40.24560203434602
48,0.48,40.24560203434602
49,0.49,40.32617381019056
50,0.5,42.14014068986939
51,0.51,42.22450533589516
52,0.52,42.734251932474436
53,0.53,42.734251932474436
54,0.54,43.250152339279715
55,0.55,43.250152339279715
56,0.56,43.5104334024222
57,0.5700000000000001,44.12386366705374
58,0.58,44.12386366705374
59,0.59,45.558662123888844
60,0.6,45.64987065666941
61,0.61,45.74126178911519
62,0.62,45.74126178911519
63,0.63,46.10865963783521
64,0.64,48.279198370581696
65,0.65,48.279198370581696
66,0.66,48.279198370581696
67,0.67,48.279198370581696
68,0.68,48.47270197777481
69,0.6900000000000001,49.94891602546512
70,0.7000000000000001,50.75452664910623
71,0.71,51.05996932250756
72,0.72,51.05996932250756
73,0.73,51.16219148331339
74,0.74,51.676380228367584
75,0.75,51.98737065170029
76,0.76,52.19573665795356
77,0.77,52.19573665795356
78,0.78,52.30023262723876
79,0.79,52.93161635500444
80,0.8,53.03758555691637
81,0.81,53.03758555691637
82,0.8200000000000001,54.21734257647094
83,0.8300000000000001,54.434646336994085
84,0.84,54.65282105360057
85,0.85,55.64547928590583
86,0.86,55.64547928590583
87,0.87,56.09242868303638
88,0.88,57.91641514808947
89,0.89,57.91641514808947
90,0.9,57.91641514808947
91,0.91,57.91641514808947
92,0.92,58.26495833910286
93,0.93,58.73294762300674
94,0.9400000000000001,67.0206580966104
95,0.9500000000000001,68.23795313667556
96,0.96,68.23795313667556
97,0.97,68.92375619692676
98,0.98,73.47909414318976
99,0.99,74.81369364413838
100,1.0,75.26392530035449
