ttft,prompt_length
16.328000000008615,975
30.468999999997322,981
37.98500000000058,990
23.563000000009197,1000
36.078000000008615,1001
40.23500000000058,1016
19.25,1027
12.468999999997322,1042
27.64100000000326,1043
17.469000000011874,1074
13.985000000000582,1098
19.062999999994645,1154
32.48399999999674,1176
27.046999999991385,1247
29.953000000008615,1253
35.59300000000803,1325
16.875,1325
23.155999999988126,1405
18.688000000009197,1474
39.4380000000092,1484
25.718999999997322,1493
15.922000000005937,1569
20.843999999997322,1588
34.546000000002095,1595
23.093000000008033,1691
29.281000000002678,2115
45.51600000000326,2251
47.21899999999732,2360
34.28100000000268,2484
26.031000000002678,2496
34.60899999999674,2650
21.5,2655
20.75,2749
24.171999999991385,2940
37.85899999999674,3426
35.453000000008615,3588
13.312000000005355,3731
29.062000000005355,3988
53.0630000000092,4861
22.0,5042
32.98399999999674,5408
47.14100000000326,6387
44.21899999999732,6906
34.73399999999674,7072
50.60899999999674,7206
32.437999999994645,7737
29.40700000000652,7860
37.687000000005355,9347
22.937000000005355,9538
37.828000000008615,9564
35.53199999999197,9650
38.35900000001129,9879
48.328000000008615,10034
21.796999999991385,11978
20.703000000008615,12880
29.23399999999674,13867
32.71899999999732,13921
23.922000000005937,14880
14.15700000000652,15020
26.156000000002678,16940
28.046000000002095,16989
33.625,17137
33.25,17656
42.60899999999674,18557
20.73399999999674,18892
28.5,19280
38.328999999997905,20020
25.98399999999674,20230
28.328000000008615,22020
33.21899999999732,22204
35.312000000005355,23972
36.26499999999942,24900
20.843000000008033,25720
34.312000000005355,26900
24.969000000011874,27543
53.719000000011874,27669
24.296999999991385,28713
40.34399999999732,28993
22.25,29016
27.89100000000326,30240
