Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
9388.58750,5039.19861,24909.45861,28998.60270
679.70000,647.42416,1381.60606,1895.05287
10068.28750,5761.78376,25311.21557,29290.04360
0.01920,0.01844,0.02208,0.02987
30.07148,29.22430,42.64887,53.03759
0.01854,0.01600,0.03102,0.07800
42.69431,42.14014,57.91642,74.81369
0.13904,0.06974,0.33790,0.55377
15.00699,14.02723,29.99410,34.50143
0.54220,0.50007,0.86502,0.91485
1.11090,0.45430,2.89504,4.94808
