,cdf,Output Throughput
0,0.0,0.4814269639527997
1,0.01,0.4814269639527997
2,0.02,3.117401739282625
3,0.03,3.117401739282625
4,0.04,3.3434389476503608
5,0.05,3.869014993493735
6,0.06,3.869014993493735
7,0.07,4.495154329828011
8,0.08,4.495154329828011
9,0.09,4.830741738879134
10,0.1,5.254054440846848
11,0.11,5.254054440846848
12,0.12,5.6802774535730025
13,0.13,5.6802774535730025
14,0.14,6.4173170133954045
15,0.15,6.443037697095705
16,0.16,6.443037697095705
17,0.17,6.507791324173759
18,0.18,6.507791324173759
19,0.19,7.515745142640555
20,0.2,7.698305042926664
21,0.21,7.698305042926664
22,0.22,8.389661793508544
23,0.23,9.070253699367509
24,0.24,9.070253699367509
25,0.25,11.189773770435789
26,0.26,11.189773770435789
27,0.27,11.415822271300364
28,0.28,11.81063412888531
29,0.29,11.81063412888531
30,0.3,12.170321608679302
31,0.31,12.170321608679302
32,0.32,12.366612963151994
33,0.33,12.441035710712994
34,0.34,12.441035710712994
35,0.35000000000000003,12.566070240192689
36,0.36,12.566070240192689
37,0.37,14.28200547295909
38,0.38,14.454422026433278
39,0.39,14.454422026433278
40,0.4,15.165155672452096
41,0.41000000000000003,15.225937798612097
42,0.42,15.225937798612097
43,0.43,16.461106781569853
44,0.44,16.461106781569853
45,0.45,16.860952433013345
46,0.46,17.444082039670334
47,0.47000000000000003,17.444082039670334
48,0.48,17.832104571614245
49,0.49,17.832104571614245
50,0.5,19.786512030698223
51,0.51,21.434473168836654
52,0.52,21.434473168836654
53,0.53,22.89687741106054
54,0.54,22.89687741106054
55,0.55,23.31275299475424
56,0.56,23.594191377547254
57,0.5700000000000001,23.594191377547254
58,0.58,26.075615015164104
59,0.59,26.075615015164104
60,0.6,27.13978141333958
61,0.61,27.577510556825658
62,0.62,27.577510556825658
63,0.63,28.417371072605857
64,0.64,29.049481162991018
65,0.65,29.049481162991018
66,0.66,30.969431716511867
67,0.67,30.969431716511867
68,0.68,32.42729996945664
69,0.6900000000000001,32.88447508002318
70,0.7000000000000001,32.88447508002318
71,0.71,33.01627645128441
72,0.72,33.01627645128441
73,0.73,33.1486060840254
74,0.74,33.48175522538304
75,0.75,33.48175522538304
76,0.76,36.78170966575206
77,0.77,36.78170966575206
78,0.78,36.92913120006213
79,0.79,39.291205832406035
80,0.8,39.291205832406035
81,0.81,41.804364348595875
82,0.8200000000000001,44.03570409928742
83,0.8300000000000001,44.03570409928742
84,0.84,44.745942355985854
85,0.85,44.745942355985854
86,0.86,44.835523822164006
87,0.87,45.19564670365433
88,0.88,45.19564670365433
89,0.89,46.66529688287211
90,0.9,46.66529688287211
91,0.91,47.228654015778176
92,0.92,49.55091867664183
93,0.93,49.55091867664183
94,0.9400000000000001,51.2646182930898
95,0.9500000000000001,51.2646182930898
96,0.96,57.45493206664411
97,0.97,67.42399096825105
98,0.98,67.42399096825105
99,0.99,71.45021568106228
100,1.0,91.7439006076343
