,cdf,"Deadline Miss Rate with 0.05s TBT Deadline, 0.1s TTFT Deadline, 0.0s TTFT Slack, Using Predictions for TTFT: False "
0,0.0,0.07464577418282689
1,0.01,0.07464577418282689
2,0.02,0.1268181398655986
3,0.03,0.1268181398655986
4,0.04,0.13848390645314124
5,0.05,0.1736000682401979
6,0.06,0.1736000682401979
7,0.07,0.20618096471435318
8,0.08,0.20618096471435318
9,0.09,0.2120356163010872
10,0.1,0.22113077663475186
11,0.11,0.22113077663475186
12,0.12,0.22650211530662803
13,0.13,0.22650211530662803
14,0.14,0.23669071731179986
15,0.15,0.2371645726017134
16,0.16,0.2371645726017134
17,0.17,0.23954811698130016
18,0.18,0.23954811698130016
19,0.19,0.24487657546149416
20,0.2,0.2564039999400263
21,0.21,0.2564039999400263
22,0.22,0.27554593538799327
23,0.23,0.2873653386814699
24,0.24,0.2873653386814699
25,0.25,0.2885171024118929
26,0.26,0.2885171024118929
27,0.27,0.3163200113535738
28,0.28,0.31695328464957695
29,0.29,0.31695328464957695
30,0.3,0.3188607215817742
31,0.31,0.3188607215817742
32,0.32,0.3201387191853108
33,0.33,0.3220653261838012
34,0.34,0.3220653261838012
35,0.35000000000000003,0.33993499879388905
36,0.36,0.33993499879388905
37,0.37,0.35522608075862405
38,0.38,0.3645830758080317
39,0.39,0.3645830758080317
40,0.4,0.37343891760446246
41,0.41000000000000003,0.3764384119251212
42,0.42,0.3764384119251212
43,0.43,0.3848118296483327
44,0.44,0.3848118296483327
45,0.45,0.41519757280188396
46,0.46,0.41853247632388274
47,0.47000000000000003,0.41853247632388274
48,0.48,0.4252828572349211
49,0.49,0.4252828572349211
50,0.5,0.44441308816509617
51,0.51,0.46907117999773323
52,0.52,0.46907117999773323
53,0.53,0.4950974167140802
54,0.54,0.4950974167140802
55,0.55,0.5020775296572072
56,0.56,0.5122201719684092
57,0.5700000000000001,0.5122201719684092
58,0.58,0.5194416894544359
59,0.59,0.5194416894544359
60,0.6,0.5395603133299307
61,0.61,0.5417228775491246
62,0.62,0.5417228775491246
63,0.63,0.552666409283212
64,0.64,0.55710547462353
65,0.65,0.55710547462353
66,0.66,0.5891934705571155
67,0.67,0.5891934705571155
68,0.68,0.5939259244749931
69,0.6900000000000001,0.595114965364833
70,0.7000000000000001,0.595114965364833
71,0.71,0.6010959722046929
72,0.72,0.6010959722046929
73,0.73,0.6083525788507955
74,0.74,0.6169294155828551
75,0.75,0.6169294155828551
76,0.76,0.6218846470572781
77,0.77,0.6218846470572781
78,0.78,0.6736796137075555
79,0.79,0.691424979692188
80,0.8,0.691424979692188
81,0.81,0.7110584718531673
82,0.8200000000000001,0.7153376488040041
83,0.8300000000000001,0.7153376488040041
84,0.84,0.7460216948245583
85,0.85,0.7460216948245583
86,0.86,0.7460216948245583
87,0.87,0.747515231751134
88,0.88,0.747515231751134
89,0.89,0.7718225704980374
90,0.9,0.7718225704980374
91,0.91,0.7858411703381528
92,0.92,0.8001143897618219
93,0.93,0.8001143897618219
94,0.9400000000000001,0.811394773418487
95,0.9500000000000001,0.811394773418487
96,0.96,0.8344348911337356
97,0.97,0.852995887262035
98,0.98,0.852995887262035
99,0.99,0.8632935034678146
100,1.0,0.9772619876495665
