,cdf,End to End Latency
0,0.0,13.183952359699651
1,0.01,13.183952359699651
2,0.02,15.942690096203455
3,0.03,15.942690096203455
4,0.04,19.668148365147022
5,0.05,20.145894102423608
6,0.06,20.145894102423608
7,0.07,20.9261696835151
8,0.08,20.9261696835151
9,0.09,23.266174067691793
10,0.1,23.54705013603367
11,0.11,23.54705013603367
12,0.12,24.264164816548465
13,0.13,24.264164816548465
14,0.14,24.312741723088106
15,0.15,24.655514029012366
16,0.16,24.655514029012366
17,0.17,24.7543336255018
18,0.18,24.7543336255018
19,0.19,25.10333169881963
20,0.2,26.81605020051256
21,0.21,26.81605020051256
22,0.22,27.13978141333958
23,0.23,27.41254084254664
24,0.24,27.41254084254664
25,0.25,27.41254084254664
26,0.26,27.41254084254664
27,0.27,27.522410635633197
28,0.28,28.13461341223975
29,0.29,28.13461341223975
30,0.3,30.969431716511867
31,0.31,30.969431716511867
32,0.32,32.88447508002318
33,0.33,34.295037977704055
34,0.34,34.295037977704055
35,0.35000000000000003,35.12807563327819
36,0.36,35.12807563327819
37,0.37,35.83771007254983
38,0.38,37.67514938749509
39,0.39,37.67514938749509
40,0.4,37.67514938749509
41,0.41000000000000003,38.43623814707242
42,0.42,38.43623814707242
43,0.43,38.900251672510336
44,0.44,38.900251672510336
45,0.45,38.97813005423709
46,0.46,38.97813005423709
47,0.47000000000000003,38.97813005423709
48,0.48,39.606796262836106
49,0.49,39.606796262836106
50,0.5,40.32617381019056
51,0.51,42.05594460457494
52,0.52,42.05594460457494
53,0.53,42.14014068986939
54,0.54,42.14014068986939
55,0.55,44.212199730451246
56,0.56,44.47827043141523
57,0.5700000000000001,44.47827043141523
58,0.58,44.65653987375613
59,0.59,44.65653987375613
60,0.6,44.925284630616794
61,0.61,45.8328358867911
62,0.62,45.8328358867911
63,0.63,47.04011666295805
64,0.64,47.3232058756696
65,0.65,47.3232058756696
66,0.66,47.89450547864771
67,0.67,47.89450547864771
68,0.68,48.76441254344387
69,0.6900000000000001,48.8620389949823
70,0.7000000000000001,48.8620389949823
71,0.71,49.55091867664183
72,0.72,49.55091867664183
73,0.73,49.849117991448196
74,0.74,51.470087499205164
75,0.75,51.470087499205164
76,0.76,51.470087499205164
77,0.77,51.470087499205164
78,0.78,52.93161635500444
79,0.79,53.14376690938267
80,0.8,53.14376690938267
81,0.81,57.68521212474681
82,0.8200000000000001,57.68521212474681
83,0.8300000000000001,57.68521212474681
84,0.84,59.7997131227849
85,0.85,59.7997131227849
86,0.86,62.61475035352721
87,0.87,67.28927769958321
88,0.88,67.28927769958321
89,0.89,71.16498556380265
90,0.9,71.16498556380265
91,0.91,73.77359923544194
92,0.92,81.53243911452779
93,0.93,81.53243911452779
94,0.9400000000000001,85.7126980866869
95,0.9500000000000001,85.7126980866869
96,0.96,92.66594244658097
97,0.97,96.25500986261586
98,0.98,96.25500986261586
99,0.99,97.61205762231134
100,1.0,97.80747715709069
