,cdf,Number of Total Tokens
0,0.0,1475.8685343641014
1,0.01,1475.8685343641014
2,0.02,1514.7443245091526
3,0.03,1514.7443245091526
4,0.04,1784.693544405444
5,0.05,1784.693544405444
6,0.06,1817.1089020181566
7,0.07,1941.084319839839
8,0.08,1941.084319839839
9,0.09,2061.1143119543917
10,0.1,2061.1143119543917
11,0.11,2077.669363882547
12,0.12,2077.669363882547
13,0.13,2149.5247661047792
14,0.14,2232.778538680761
15,0.15,2232.778538680761
16,0.16,2264.257285793638
17,0.17,2264.257285793638
18,0.18,2277.8836723309932
19,0.19,2418.740180434836
20,0.2,2418.740180434836
21,0.21,2542.7516837136914
22,0.22,2542.7516837136914
23,0.23,2594.118692374132
24,0.24,2594.118692374132
25,0.25,2855.499755083081
26,0.26,2895.757914642538
27,0.27,2895.757914642538
28,0.28,2919.016897596674
29,0.29,2919.016897596674
30,0.3,2960.170551282342
31,0.31,2960.170551282342
32,0.32,3143.2173382232995
33,0.33,3162.1333398147603
34,0.34,3162.1333398147603
35,0.35000000000000003,3350.9601834224245
36,0.36,3350.9601834224245
37,0.37,3398.203573831224
38,0.38,3800.9345423218165
39,0.39,3800.9345423218165
40,0.4,4027.9074100845655
41,0.41000000000000003,4027.9074100845655
42,0.42,5019.08206473309
43,0.43,5019.08206473309
44,0.44,5151.289491428738
45,0.45,5255.352477057046
46,0.46,5255.352477057046
47,0.47000000000000003,5480.778158942876
48,0.48,5480.778158942876
49,0.49,5796.458394172815
50,0.5,6266.682672912486
51,0.51,6266.682672912486
52,0.52,6815.825334233967
53,0.53,6815.825334233967
54,0.54,7051.548052863576
55,0.55,7051.548052863576
56,0.56,7608.356631656622
57,0.5700000000000001,7700.20694151096
58,0.58,7700.20694151096
59,0.59,8374.967792393845
60,0.6,8374.967792393845
61,0.61,9691.481276058712
62,0.62,9691.481276058712
63,0.63,9788.882314805822
64,0.64,9867.507480862972
65,0.65,9867.507480862972
66,0.66,9887.26225059443
67,0.67,9887.26225059443
68,0.68,10188.374316396288
69,0.6900000000000001,10477.68027604377
70,0.7000000000000001,10477.68027604377
71,0.71,12544.06150436265
72,0.72,12544.06150436265
73,0.73,13373.128904691406
74,0.74,13373.128904691406
75,0.75,14285.533902378094
76,0.76,15444.414794615628
77,0.77,15444.414794615628
78,0.78,17588.53869411745
79,0.79,17588.53869411745
80,0.8,17979.774489831118
81,0.81,17979.774489831118
82,0.8200000000000001,19322.06120428897
83,0.8300000000000001,20272.139940277837
84,0.84,20272.139940277837
85,0.85,22314.742499887347
86,0.86,22314.742499887347
87,0.87,24661.60527727615
88,0.88,25616.77997890734
89,0.89,25616.77997890734
90,0.9,25977.937220806816
91,0.91,25977.937220806816
92,0.92,27584.32369660044
93,0.93,27584.32369660044
94,0.9400000000000001,28141.564186614123
95,0.9500000000000001,28141.564186614123
96,0.96,28141.564186614123
97,0.97,29173.11739353072
98,0.98,29173.11739353072
99,0.99,29231.52203295721
100,1.0,29466.312195922867
