,cdf,Output Throughput
0,0.0,0.0646348582068288
1,0.01,0.0646348582068288
2,0.02,1.1583534406120801
3,0.03,1.1583534406120801
4,0.04,1.280178578089982
5,0.05,1.280178578089982
6,0.06,2.4620634528874743
7,0.07,2.8377169773331725
8,0.08,2.8377169773331725
9,0.09,4.725625899458204
10,0.1,4.725625899458204
11,0.11,5.150017158066078
12,0.12,5.150017158066078
13,0.13,6.215213700466616
14,0.14,6.31545696065555
15,0.15,6.31545696065555
16,0.16,6.639257473798307
17,0.17,6.639257473798307
18,0.18,7.515745142640555
19,0.19,7.806839316902294
20,0.2,7.806839316902294
21,0.21,8.542043073834684
22,0.22,8.542043073834684
23,0.23,8.66247275778687
24,0.24,8.66247275778687
25,0.25,8.732050502941336
26,0.26,8.732050502941336
27,0.27,8.732050502941336
28,0.28,8.926284417773203
29,0.29,8.926284417773203
30,0.3,8.926284417773203
31,0.31,8.926284417773203
32,0.32,9.554385390965288
33,0.33,9.592679482417966
34,0.34,9.592679482417966
35,0.35000000000000003,10.308824517083695
36,0.36,10.308824517083695
37,0.37,10.58036882420654
38,0.38,10.601550743774519
39,0.39,10.601550743774519
40,0.4,11.76348593590392
41,0.41000000000000003,11.76348593590392
42,0.42,12.170321608679302
43,0.43,12.170321608679302
44,0.44,12.591227537970854
45,0.45,13.343112894355036
46,0.46,13.343112894355036
47,0.47000000000000003,13.50419486160519
48,0.48,13.50419486160519
49,0.49,13.639914321767893
50,0.5,13.832216158308272
51,0.51,13.832216158308272
52,0.52,14.083450458310905
53,0.53,14.083450458310905
54,0.54,14.48335980826798
55,0.55,14.48335980826798
56,0.56,14.924443930554403
57,0.5700000000000001,14.95432269718214
58,0.58,14.95432269718214
59,0.59,15.689636795170529
60,0.6,15.689636795170529
61,0.61,17.479005126836842
62,0.62,17.479005126836842
63,0.63,17.584194445047736
64,0.64,17.76091859646407
65,0.65,17.76091859646407
66,0.66,18.375173189504977
67,0.67,18.375173189504977
68,0.68,18.93478071465443
69,0.6900000000000001,20.105642565755424
70,0.7000000000000001,20.105642565755424
71,0.71,22.988648370853415
72,0.72,22.988648370853415
73,0.73,23.64142699592072
74,0.74,23.64142699592072
75,0.75,23.783702003519156
76,0.76,24.11901566217658
77,0.77,24.11901566217658
78,0.78,24.21568496676515
79,0.79,24.21568496676515
80,0.8,24.264164816548465
81,0.81,24.264164816548465
82,0.8200000000000001,24.264164816548465
83,0.8300000000000001,25.10333169881963
84,0.84,25.10333169881963
85,0.85,26.285056654635955
86,0.86,26.285056654635955
87,0.87,27.248557983356402
88,0.88,28.24737728086207
89,0.89,28.24737728086207
90,0.9,29.934169872743254
91,0.91,29.934169872743254
92,0.92,29.99409814075676
93,0.93,29.99409814075676
94,0.9400000000000001,33.953796535067895
95,0.9500000000000001,35.12807563327819
96,0.96,35.12807563327819
97,0.97,44.12386366705374
98,0.98,44.12386366705374
99,0.99,46.20096926673978
100,1.0,47.79881216100805
