,cdf,End to End Latency
0,0.0,23.736182119396236
1,0.01,23.736182119396236
2,0.02,25.003118897839112
3,0.03,25.003118897839112
4,0.04,25.003118897839112
5,0.05,25.003118897839112
6,0.06,25.457250108795368
7,0.07,30.1143148465146
8,0.08,30.1143148465146
9,0.09,30.907554730065282
10,0.1,30.907554730065282
11,0.11,31.031432580809184
12,0.12,31.031432580809184
13,0.13,31.155806935467375
14,0.14,31.155806935467375
15,0.15,31.155806935467375
16,0.16,31.21818092332617
17,0.17,31.21818092332617
18,0.18,31.78519619708015
19,0.19,31.912591645369606
20,0.2,31.912591645369606
21,0.21,34.021772103706674
22,0.22,34.021772103706674
23,0.23,35.05788966797693
24,0.24,35.05788966797693
25,0.25,36.41572541820215
26,0.26,36.634876639973626
27,0.27,36.634876639973626
28,0.28,37.1513721173722
29,0.29,37.1513721173722
30,0.3,37.524749739640455
31,0.31,37.524749739640455
32,0.32,37.67514938749509
33,0.33,38.5902910514165
34,0.34,38.5902910514165
35,0.35000000000000003,39.448685457506215
36,0.36,39.448685457506215
37,0.37,40.1651912410706
38,0.38,41.63748082513196
39,0.39,41.63748082513196
40,0.4,41.88805676971418
41,0.41000000000000003,41.88805676971418
42,0.42,42.05594460457494
43,0.43,42.05594460457494
44,0.44,42.393741660651905
45,0.45,42.4786140163289
46,0.46,42.4786140163289
47,0.47000000000000003,43.68482374232135
48,0.48,43.68482374232135
49,0.49,45.28612847883683
50,0.5,45.64987065666941
51,0.51,45.64987065666941
52,0.52,46.758720900655646
53,0.53,46.758720900655646
54,0.54,47.60799873003938
55,0.55,47.60799873003938
56,0.56,48.47270197777481
57,0.5700000000000001,48.8620389949823
58,0.58,48.8620389949823
59,0.59,50.0489138553459
60,0.6,50.0489138553459
61,0.61,51.36725016154444
62,0.62,51.36725016154444
63,0.63,51.98737065170029
64,0.64,52.509852588049384
65,0.65,52.509852588049384
66,0.66,53.03758555691637
67,0.67,53.03758555691637
68,0.68,53.7853340300857
69,0.6900000000000001,54.871870217092805
70,0.7000000000000001,54.871870217092805
71,0.71,56.20472583755698
72,0.72,56.20472583755698
73,0.73,57.45493206664411
74,0.74,57.45493206664411
75,0.75,57.56995695566639
76,0.76,57.56995695566639
77,0.77,57.56995695566639
78,0.78,58.03236392716473
79,0.79,58.03236392716473
80,0.8,58.85053110173148
81,0.81,58.85053110173148
82,0.8200000000000001,59.08640473753639
83,0.8300000000000001,59.08640473753639
84,0.84,59.08640473753639
85,0.85,60.280029692464964
86,0.86,60.280029692464964
87,0.87,61.867863384760206
88,0.88,62.74010520908983
89,0.89,62.74010520908983
90,0.9,63.24403926732725
91,0.91,63.24403926732725
92,0.92,64.13568305734209
93,0.93,64.13568305734209
94,0.9400000000000001,64.26408282322265
95,0.9500000000000001,66.88675068782601
96,0.96,66.88675068782601
97,0.97,70.59793670994965
98,0.98,70.59793670994965
99,0.99,72.45755395112361
100,1.0,72.60261411919393
