,cdf,"Deadline Miss Rate with 0.05s TBT Deadline, 0.1s TTFT Deadline, 0.0s TTFT Slack, Using Predictions for TTFT: False "
0,0.0,0.1781728602368647
1,0.01,0.1781728602368647
2,0.02,0.18919045838583287
3,0.03,0.18919045838583287
4,0.04,0.20576901473490394
5,0.05,0.20576901473490394
6,0.06,0.27225914326192013
7,0.07,0.2805506713900541
8,0.08,0.2805506713900541
9,0.09,0.3175878257599865
10,0.1,0.3175878257599865
11,0.11,0.3188607215817742
12,0.12,0.3188607215817742
13,0.13,0.340615549342025
14,0.14,0.35098884066444797
15,0.15,0.35098884066444797
16,0.16,0.35522608075862405
17,0.17,0.35522608075862405
18,0.18,0.36898442949080795
19,0.19,0.3832756562127839
20,0.2,0.3832756562127839
21,0.21,0.38635416008546986
22,0.22,0.38635416008546986
23,0.23,0.38635416008546986
24,0.24,0.38635416008546986
25,0.25,0.3871276418874428
26,0.26,0.3871276418874428
27,0.27,0.3871276418874428
28,0.28,0.39180116017555705
29,0.29,0.39180116017555705
30,0.3,0.40616296823187664
31,0.31,0.40616296823187664
32,0.32,0.43911199948509766
33,0.33,0.46533357964714056
34,0.34,0.46533357964714056
35,0.35000000000000003,0.47001026143917013
36,0.36,0.47001026143917013
37,0.37,0.4814269639527997
38,0.38,0.4833565290091586
39,0.39,0.4833565290091586
40,0.4,0.48432420974791573
41,0.41000000000000003,0.48432420974791573
42,0.42,0.5184038439210604
43,0.43,0.5184038439210604
44,0.44,0.530996042333594
45,0.45,0.5331242808517261
46,0.46,0.5331242808517261
47,0.47000000000000003,0.540640514157418
48,0.48,0.540640514157418
49,0.49,0.5482627148053126
50,0.5,0.55710547462353
51,0.51,0.55710547462353
52,0.52,0.5604581565766483
53,0.53,0.5604581565766483
54,0.54,0.5615801949281531
55,0.55,0.5615801949281531
56,0.56,0.5649598059183998
57,0.5700000000000001,0.581002231700739
58,0.58,0.581002231700739
59,0.59,0.592739259291227
60,0.6,0.592739259291227
61,0.61,0.599894981251237
62,0.62,0.599894981251237
63,0.63,0.6243771681952621
64,0.64,0.6268796793879171
65,0.65,0.6268796793879171
66,0.66,0.6331799270180365
67,0.67,0.6331799270180365
68,0.68,0.6524631331287278
69,0.6900000000000001,0.653769365627484
70,0.7000000000000001,0.653769365627484
71,0.71,0.6696496367029259
72,0.72,0.6696496367029259
73,0.73,0.6709902766162451
74,0.74,0.6709902766162451
75,0.75,0.675028321642906
76,0.76,0.6763797296942432
77,0.77,0.6763797296942432
78,0.78,0.67909066777825
79,0.79,0.67909066777825
80,0.8,0.6818124713346724
81,0.81,0.6818124713346724
82,0.8200000000000001,0.7011730096495689
83,0.8300000000000001,0.7110584718531673
84,0.84,0.7110584718531673
85,0.85,0.7371229308889683
86,0.86,0.7371229308889683
87,0.87,0.747515231751134
88,0.88,0.7520138068708034
89,0.89,0.7520138068708034
90,0.9,0.7842710581097051
91,0.91,0.7842710581097051
92,0.92,0.8001143897618219
93,0.93,0.8001143897618219
94,0.9400000000000001,0.8719697503269105
95,0.9500000000000001,0.8878073216415597
96,0.96,0.8878073216415597
97,0.97,0.9389429844994642
98,0.98,0.9389429844994642
99,0.99,0.9445935791220815
100,1.0,0.9970039960039958
