ttft,prompt_length
35.8130000000092,975
17.312000000005355,981
27.921999999991385,990
24.437999999994645,1000
16.671000000002095,1001
17.187999999994645,1016
19.405999999988126,1024
42.84399999999732,1027
13.156000000002678,1042
35.10899999999674,1043
21.60899999999674,1074
20.780999999988126,1098
18.48399999999674,1154
28.75,1176
39.13999999999942,1247
32.51600000000326,1253
11.953999999997905,1325
11.953999999997905,1325
25.5,1405
21.078000000008615,1474
24.187000000005355,1484
21.202999999994063,1493
19.077999999994063,1569
39.28100000000268,1588
28.718000000008033,1595
15.078000000008615,1691
21.656999999991967,2115
55.39100000000326,2251
33.85899999999674,2360
40.46899999999732,2484
40.76499999999942,2496
29.406999999991967,2650
23.593999999997322,2655
23.094000000011874,2749
24.75,2940
28.297000000005937,3021
49.844000000011874,3426
12.812999999994645,3455
31.125,3588
37.95299999999406,3731
40.09399999999732,3988
37.03100000000268,4861
30.125,5042
34.79700000000594,5408
32.687000000005355,6387
29.139999999999418,6906
33.796999999991385,7072
39.23399999999674,7206
32.530999999988126,7737
34.328000000008615,7860
15.327999999994063,9347
20.531000000002678,9538
26.860000000000582,9564
20.110000000000582,9650
19.73399999999674,9879
47.296999999991385,10034
26.48399999999674,10453
28.906999999991967,11978
27.5,12880
29.906000000002678,13867
19.639999999999418,13921
26.328999999997905,14880
29.406999999991967,15020
23.718999999997322,16940
42.687000000005355,16989
19.281000000002678,17137
36.28100000000268,17656
36.71899999999732,18557
39.437999999994645,18892
34.26600000000326,19280
45.67200000000594,20020
16.125,20230
22.202999999994063,22020
24.546999999991385,22204
19.218999999997322,23972
24.625,24900
17.312000000005355,25720
19.51600000000326,26900
43.39100000000326,27543
35.23399999999674,27669
44.59399999999732,28713
25.171999999991385,28993
13.671999999991385,29016
36.76600000000326,30240
