,cdf,Normalized End to End Latency
0,0.0,0.0210048526860052
1,0.01,0.0210048526860052
2,0.02,0.023920923462949096
3,0.03,0.024501970494117235
4,0.04,0.025349361795013157
5,0.05,0.025965106059059384
6,0.06,0.025965106059059384
7,0.07,0.02606917451614132
8,0.08,0.027405770131964907
9,0.09,0.027959403599491964
10,0.1,0.028296937709456103
11,0.11,0.029747753225700165
12,0.12,0.029747753225700165
13,0.13,0.03096178247814911
14,0.14,0.031840963779705946
15,0.15,0.032096713208914295
16,0.16,0.03248419413236084
17,0.17,0.03248419413236084
18,0.18,0.03248419413236084
19,0.19,0.03281066582035456
20,0.2,0.03307420398187371
21,0.21,0.03692000995658359
22,0.22,0.037067985800121155
23,0.23,0.03714219598190319
24,0.24,0.03714219598190319
25,0.25,0.03766584388261353
26,0.26,0.039835309989829766
27,0.27,0.0403969266605426
28,0.28,0.04072139833818039
29,0.29,0.04196154996612094
30,0.3,0.04196154996612094
31,0.31,0.0428092297904313
32,0.32,0.04341277416141325
33,0.33,0.044112965373737816
34,0.34,0.04420127961873029
35,0.35000000000000003,0.04455630819484311
36,0.36,0.04455630819484311
37,0.37,0.0459132502547391
38,0.38,0.0459132502547391
39,0.39,0.046282029529983074
40,0.4,0.04788267586252734
41,0.41000000000000003,0.048074590202743524
42,0.42,0.048074590202743524
43,0.43,0.04953867993776148
44,0.44,0.049737231562209806
45,0.45,0.049936578983954726
46,0.46,0.051767047178677375
47,0.47000000000000003,0.05228731482656824
48,0.48,0.05228731482656824
49,0.49,0.05260198187756881
50,0.5,0.05313064076149899
51,0.51,0.05485831723948111
52,0.52,0.05675557121020511
53,0.53,0.05675557121020511
54,0.54,0.0624742114409649
55,0.55,0.06489391549517551
56,0.56,0.06673662326332266
57,0.5700000000000001,0.06727265770703401
58,0.58,0.06740733770244349
59,0.59,0.06740733770244349
60,0.6,0.07200632065092069
61,0.61,0.07831615706965818
62,0.62,0.07847294617290075
63,0.63,0.07926161265773085
64,0.64,0.08249634153398193
65,0.65,0.08249634153398193
66,0.66,0.08332544382798268
67,0.67,0.0843313729930939
68,0.68,0.0851789176660417
69,0.6900000000000001,0.08655274209392386
70,0.7000000000000001,0.08672602085687463
71,0.71,0.08672602085687463
72,0.72,0.0870736197905706
73,0.73,0.0909903975919381
74,0.74,0.09565557663042763
75,0.75,0.09778331937746845
76,0.76,0.09995839119153355
77,0.77,0.09995839119153355
78,0.78,0.10362245187800026
79,0.79,0.10487341246957661
80,0.8,0.1076358785565166
81,0.81,0.11180475025116511
82,0.8200000000000001,0.11474979441111592
83,0.8300000000000001,0.11474979441111592
84,0.84,0.11777241385373208
85,0.85,0.11919419693100665
86,0.86,0.13655863943609645
87,0.87,0.1521328498536126
88,0.88,0.15897614602756968
89,0.89,0.15897614602756968
90,0.9,0.15993287052596578
91,0.91,0.1691446365789772
92,0.92,0.2642126669041456
93,0.93,0.3119223849413211
94,0.9400000000000001,0.3227101016115966
95,0.9500000000000001,0.3227101016115966
96,0.96,0.3433514034740295
97,0.97,0.37343891760446246
98,0.98,0.4218941660850833
99,0.99,0.4552080269930455
100,1.0,1.1468276274780056
