Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
9155.23810,4861.01396,23980.65785,28998.60270
808.33333,632.07095,1446.64437,2771.10696
9963.57143,5558.04871,24416.21812,29290.04360
0.01550,0.01498,0.01786,0.02026
28.38600,27.52241,40.48780,49.84912
0.01553,0.01600,0.01600,0.06298
40.95837,37.52475,58.14854,77.24645
0.10162,0.05313,0.15993,0.45521
18.72269,18.22876,33.61595,41.80436
0.47763,0.43128,0.74156,0.89853
0.81250,0.34130,1.30343,4.14955
