,cdf,Output Throughput
0,0.0,1.097461220558395
1,0.01,1.097461220558395
2,0.02,1.2201814367474848
3,0.03,1.5234837304620876
4,0.04,2.337307867311597
5,0.05,2.7101387486186908
6,0.06,2.9476252917621393
7,0.07,3.7999957374195623
8,0.08,4.37978655879996
9,0.09,6.007448390019206
10,0.1,7.621705602494227
11,0.11,8.223535304665846
12,0.12,8.62789206272654
13,0.13,9.478255209215169
14,0.14,9.708485118963374
15,0.15,9.708485118963374
16,0.16,9.984164291797148
17,0.17,11.167416580085268
18,0.18,12.001124195202623
19,0.19,12.001124195202623
20,0.2,12.317245296001355
21,0.21,12.465942689112822
22,0.22,12.540963206745749
23,0.23,12.667002024593316
24,0.24,13.289847027776641
25,0.25,13.423412255673567
26,0.26,13.531230286753546
27,0.27,14.984261281160485
28,0.28,15.440600129522046
29,0.29,15.440600129522046
30,0.3,15.879046686281892
31,0.31,15.910836569537713
32,0.32,16.102916849117836
33,0.33,16.29731597809612
34,0.34,16.461106781569853
35,0.35000000000000003,16.527083095347376
36,0.36,16.560170348791516
37,0.37,17.064502789599942
38,0.38,17.374445055117736
39,0.39,17.69001679657978
40,0.4,17.76091859646407
41,0.41000000000000003,17.76091859646407
42,0.42,17.97533360818885
43,0.43,17.97533360818885
44,0.44,18.63423490116471
45,0.45,18.746376436132614
46,0.46,19.865816608672393
47,0.47000000000000003,20.186226222748783
48,0.48,20.26713286000765
49,0.49,20.552868296348876
50,0.5,20.552868296348876
51,0.51,20.968063917115735
52,0.52,21.823787129872706
53,0.53,21.86747839539798
54,0.54,21.9112571309243
55,0.55,22.131468999885865
56,0.56,22.26465702278593
57,0.5700000000000001,22.48842062089808
58,0.58,22.48842062089808
59,0.59,22.66904959863203
60,0.6,22.85112940424525
61,0.61,23.21968820541868
62,0.62,23.31275299475424
63,0.63,23.31275299475424
64,0.64,23.35942517292192
65,0.65,23.736182119396236
66,0.66,23.783702003519156
67,0.67,25.61045280900837
68,0.68,26.180126393469997
69,0.6900000000000001,26.180126393469997
70,0.7000000000000001,26.496180547827176
71,0.71,26.549225954329337
72,0.72,26.549225954329337
73,0.73,26.923529251938415
74,0.74,27.031439080693858
75,0.75,27.632720788170655
76,0.76,27.632720788170655
77,0.77,27.910434342116766
78,0.78,28.022299698332315
79,0.79,28.30392858672967
80,0.8,28.875706064708037
81,0.81,29.107638282436444
82,0.8200000000000001,29.165911832551437
83,0.8300000000000001,29.400175008601114
84,0.84,29.57710638095293
85,0.85,29.695651778726894
86,0.86,29.695651778726894
87,0.87,30.538880420353877
88,0.88,30.907554730065282
89,0.89,30.969431716511867
90,0.9,30.969431716511867
91,0.91,31.031432580809184
92,0.92,31.21818092332617
93,0.93,32.950309864968155
94,0.9400000000000001,33.88595678175108
95,0.9500000000000001,34.43249290200854
96,0.96,34.63970895500363
97,0.97,34.98784393437458
98,0.98,35.12807563327819
99,0.99,35.41022743479259
100,1.0,37.82615183894552
