,cdf,Normalized End to End Latency
0,0.0,0.030899920774896065
1,0.01,0.032549227554047225
2,0.02,0.033540499445157905
3,0.03,0.034979202175607335
4,0.04,0.03692000995658359
5,0.05,0.03744052537568777
6,0.06,0.039994970390930897
7,0.07,0.0403969266605426
8,0.08,0.0412955074932817
9,0.09,0.04154402542933529
10,0.1,0.042129732362595984
11,0.11,0.04263833483208122
12,0.12,0.04306685736489062
13,0.13,0.04455630819484311
14,0.14,0.04473489041347754
15,0.15,0.0459132502547391
16,0.16,0.046282029529983074
17,0.17,0.04712264922234397
18,0.18,0.04759623987913139
19,0.19,0.04788267586252734
20,0.2,0.048752368066212935
21,0.21,0.0491439513861072
22,0.22,0.049737231562209806
23,0.23,0.049936578983954726
24,0.24,0.05043845011448348
25,0.25,0.05064060802861177
26,0.26,0.051354562801178213
27,0.27,0.05166361651498372
28,0.28,0.05187068491076683
29,0.29,0.05197453012580341
30,0.3,0.05228731482656824
31,0.31,0.053237008410671166
32,0.32,0.053343589008089935
33,0.33,0.05442120135069811
34,0.34,0.054968143700421024
35,0.35000000000000003,0.055188456680870634
36,0.36,0.055743110077441226
37,0.37,0.056529002289774054
38,0.38,0.057786421656804025
39,0.39,0.05836718504420853
40,0.4,0.0590718107986494
41,0.41000000000000003,0.059665492566025276
42,0.42,0.06038579186916246
43,0.43,0.060506684345376996
44,0.44,0.061359735636470215
45,0.45,0.0624742114409649
46,0.46,0.06322841842107449
47,0.47000000000000003,0.06386387480355367
48,0.48,0.06620485998912709
49,0.49,0.0663374022513676
50,0.5,0.06740733770244349
51,0.51,0.06876905671012956
52,0.52,0.06904468391575412
53,0.53,0.07128984555170034
54,0.54,0.07186245187839137
55,0.55,0.07287560204550458
56,0.56,0.07287560204550458
57,0.5700000000000001,0.07375537765970896
58,0.58,0.07405099009961516
59,0.59,0.0750949952933328
60,0.6,0.07645894437859121
61,0.61,0.07691907721635559
62,0.62,0.07815968123135716
63,0.63,0.08183900344077076
64,0.64,0.08500873001835729
65,0.65,0.0862072225102351
66,0.66,0.08672602085687463
67,0.67,0.08883262418353823
68,0.68,0.09282852617171974
69,0.6900000000000001,0.10157058917847128
70,0.7000000000000001,0.1149795237292563
71,0.71,0.1421317051292333
72,0.72,0.15274260014385724
73,0.73,0.1592944165901874
74,0.74,0.1654640878312661
75,0.75,0.16846940916272116
76,0.76,0.17187271812714278
77,0.77,0.18104655521311142
78,0.78,0.18286610395257027
79,0.79,0.19417391618468258
80,0.8,0.20331454202976967
81,0.81,0.2120356163010872
82,0.8200000000000001,0.2251471710607095
83,0.8300000000000001,0.22969544715067292
84,0.84,0.24292537740600662
85,0.85,0.26527163444788204
86,0.86,0.28111233439584005
87,0.87,0.29375743349359745
88,0.88,0.2984953563160937
89,0.89,0.3039169222488286
90,0.9,0.30943695998871573
91,0.91,0.3125468541804428
92,0.92,0.3188607215817742
93,0.93,0.3266059524846777
94,0.9400000000000001,0.3474964421893278
95,0.9500000000000001,0.3653129718556954
96,0.96,0.37120499183328265
97,0.97,0.4202099595180835
98,0.98,0.457947486227485
99,0.99,0.4980769318142944
100,1.0,0.5975001932969285
