,cdf,Time per Output Token
0,0.0,0.01363654535598093
1,0.01,0.01363654535598093
2,0.02,0.013718610605023348
3,0.03,0.013746075290919292
4,0.04,0.013828799695279554
5,0.05,0.013828799695279554
6,0.06,0.013967781489349901
7,0.07,0.014023764525396363
8,0.08,0.014108160074140246
9,0.09,0.014136404638853238
10,0.1,0.014136404638853238
11,0.11,0.014164705749241335
12,0.12,0.014164705749241335
13,0.13,0.01439316390890434
14,0.14,0.01439316390890434
15,0.15,0.014450851882799777
16,0.16,0.014450851882799777
17,0.17,0.014508771070787758
18,0.18,0.014537817659518063
19,0.19,0.014537817659518063
20,0.2,0.014537817659518063
21,0.21,0.014596085407384123
22,0.22,0.014596085407384123
23,0.23,0.014596085407384123
24,0.24,0.0146253067995911
25,0.25,0.01480186778723828
26,0.26,0.014861193851189074
27,0.27,0.014861193851189074
28,0.28,0.014861193851189074
29,0.29,0.014890945991031294
30,0.3,0.014890945991031294
31,0.31,0.014920757694717035
32,0.32,0.014920757694717035
33,0.33,0.014950629081493246
34,0.34,0.014980560270845588
35,0.35000000000000003,0.015010551382498934
36,0.36,0.015010551382498934
37,0.37,0.015010551382498934
38,0.38,0.01513111745501912
39,0.39,0.01513111745501912
40,0.4,0.015161409982456598
41,0.41000000000000003,0.015161409982456598
42,0.42,0.015161409982456598
43,0.43,0.01519176315559465
44,0.44,0.01519176315559465
45,0.45,0.01519176315559465
46,0.46,0.01519176315559465
47,0.47000000000000003,0.015252651924866805
48,0.48,0.015252651924866805
49,0.49,0.015313784737057837
50,0.5,0.015344442964759656
51,0.51,0.015344442964759656
52,0.52,0.015344442964759656
53,0.53,0.015436786406624717
54,0.54,0.015623143813782043
55,0.55,0.015623143813782043
56,0.56,0.015685761561915694
57,0.5700000000000001,0.015685761561915694
58,0.58,0.0157801590720911
59,0.59,0.01584340613926675
60,0.6,0.01584340613926675
61,0.61,0.015875124670076096
62,0.62,0.016066773825145382
63,0.63,0.016195823569475656
64,0.64,0.016195823569475656
65,0.65,0.01629329065222864
66,0.66,0.016391344295595824
67,0.67,0.016457041000491286
68,0.68,0.01655608009968765
69,0.6900000000000001,0.01655608009968765
70,0.7000000000000001,0.01668905999516812
71,0.71,0.01678949539350651
72,0.72,0.016856787892786603
73,0.73,0.016856787892786603
74,0.74,0.01709444270450204
75,0.75,0.017231746775903854
76,0.76,0.0174397734704088
77,0.77,0.017474687931811023
78,0.78,0.017474687931811023
79,0.79,0.017509672292034872
80,0.8,0.017509672292034872
81,0.81,0.017544726691017927
82,0.8200000000000001,0.017544726691017927
83,0.8300000000000001,0.017579851268977924
84,0.84,0.01772105418477893
85,0.85,0.01772105418477893
86,0.86,0.017756531770734444
87,0.87,0.017756531770734444
88,0.88,0.017756531770734444
89,0.89,0.01779208038288807
90,0.9,0.018187843717583342
91,0.91,0.018187843717583342
92,0.92,0.01833393008235185
93,0.93,0.018518189204716273
94,0.9400000000000001,0.01870430016266761
95,0.9500000000000001,0.018854534751150547
96,0.96,0.018854534751150547
97,0.97,0.01896800205900161
98,0.98,0.019044026039173982
99,0.99,0.021687878325993115
100,1.0,0.021862077277412673
