,cdf,Normalized End to End Latency
0,0.0,0.024355398777161173
1,0.01,0.024355398777161173
2,0.02,0.025706748851362038
3,0.03,0.026595806952064222
4,0.04,0.027570699099849907
5,0.05,0.027570699099849907
6,0.06,0.02927557650353776
7,0.07,0.029926776336993432
8,0.08,0.03096178247814911
9,0.09,0.03307420398187371
10,0.1,0.03307420398187371
11,0.11,0.033607647592195256
12,0.12,0.03476995526128824
13,0.13,0.03554337091281865
14,0.14,0.03554337091281865
15,0.15,0.036625828075364034
16,0.16,0.03865799827057034
17,0.17,0.03896850272201971
18,0.18,0.03975571896087905
19,0.19,0.03975571896087905
20,0.2,0.039994970390930897
21,0.21,0.04023566164519613
22,0.22,0.04096646126348448
23,0.23,0.04096646126348448
24,0.24,0.04104847620094892
25,0.25,0.04121299898680164
26,0.26,0.04146102038352242
27,0.27,0.04196154996612094
28,0.28,0.04196154996612094
29,0.29,0.045456405630066955
30,0.3,0.04600516867366751
31,0.31,0.04618955794251058
32,0.32,0.04618955794251058
33,0.33,0.04637468624575882
34,0.34,0.047216988860426745
35,0.35000000000000003,0.04731151736665383
36,0.36,0.04769152764665718
37,0.37,0.04769152764665718
38,0.38,0.048849970404683835
39,0.39,0.049439701556267444
40,0.4,0.053343589008089935
41,0.41000000000000003,0.053343589008089935
42,0.42,0.05377204941949993
43,0.43,0.05431246768166574
44,0.44,0.05453015270475353
45,0.45,0.055298944081633106
46,0.46,0.055298944081633106
47,0.47000000000000003,0.05563173523213165
48,0.48,0.055743110077441226
49,0.49,0.05607857423581017
50,0.5,0.05954628079266658
51,0.51,0.05954628079266658
52,0.52,0.06411984198115593
53,0.53,0.0646348582068288
54,0.54,0.06502383324391461
55,0.55,0.06502383324391461
56,0.56,0.06515401108824675
57,0.5700000000000001,0.0656773338513936
58,0.58,0.06580882000525025
59,0.59,0.06580882000525025
60,0.6,0.06580882000525025
61,0.61,0.06607258254659137
62,0.62,0.06713824680252445
63,0.63,0.06727265770703401
64,0.64,0.06727265770703401
65,0.65,0.06740733770244349
66,0.66,0.06740733770244349
67,0.67,0.0676775071219228
68,0.68,0.06835767760419717
69,0.6900000000000001,0.06835767760419717
70,0.7000000000000001,0.06849452981161297
71,0.71,0.06890673249933901
72,0.72,0.07086338699129381
73,0.73,0.07086338699129381
74,0.74,0.07128984555170034
75,0.75,0.07186245187839137
76,0.76,0.07434778735773258
77,0.77,0.07584971279604816
78,0.78,0.07584971279604816
79,0.79,0.07676539274639282
80,0.8,0.07784766684721442
81,0.81,0.08118690307520607
82,0.8200000000000001,0.08118690307520607
83,0.8300000000000001,0.08249634153398193
84,0.84,0.08382689952081433
85,0.85,0.08990503764303397
86,0.86,0.093761468682461
87,0.87,0.093761468682461
88,0.88,0.09489338459647714
89,0.89,0.09681035877040307
90,0.9,0.11406335678801822
91,0.91,0.11406335678801822
92,0.92,0.11730226496624101
93,0.93,0.12758133625878204
94,0.9400000000000001,0.12834912559691156
95,0.9500000000000001,0.1360134957109461
96,0.96,0.1360134957109461
97,0.97,0.14241625308744993
98,0.98,0.1869337395266882
99,0.99,0.22469732656308566
100,1.0,0.35380801398719924
