Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
9257.82278,5039.19861,24909.45861,28998.60270
831.22785,673.84605,1455.35033,2522.49082
10089.05063,5854.71379,25412.66323,29584.41353
0.01598,0.01534,0.01819,0.02169
30.16851,28.70297,39.52766,55.20209
0.01593,0.01600,0.03102,0.06298
43.42665,40.56886,62.24019,86.74745
0.06877,0.05955,0.11406,0.22470
18.64690,16.79364,29.75510,38.90025
0.45522,0.47759,0.65639,0.80654
0.47640,0.41107,0.86675,1.94449
