ttft,prompt_length
29.422000000005937,975
31.375,981
27.875,990
22.125,1000
31.281000000002678,1001
27.453000000008615,1016
20.639999999999418,1027
25.35899999999674,1042
28.827999999994063,1043
22.875,1074
27.031000000002678,1098
29.73399999999674,1176
28.577999999994063,1247
22.936999999990803,1253
37.26600000000326,1325
7.172000000005937,1325
23.39100000000326,1405
28.531999999991967,1474
28.014999999999418,1484
29.328000000008615,1493
20.078000000008615,1569
38.89100000000326,1588
54.719000000011874,1595
22.75,1691
27.311999999990803,2115
34.57799999999406,2251
25.202999999994063,2360
46.67200000000594,2484
32.15600000000268,2496
37.155999999988126,2650
27.73399999999674,2655
24.187999999994645,2749
27.343999999997322,2940
29.98399999999674,3426
20.327999999994063,3455
49.0630000000092,3588
8.047000000005937,3731
32.01499999999942,3988
42.67200000000594,4861
26.077999999994063,5042
55.171999999991385,5408
27.531000000002678,6387
41.46800000000803,6906
22.65700000000652,7072
45.546999999991385,7206
29.85899999999674,7737
28.110000000000582,7860
39.546999999991385,9347
25.01600000000326,9538
17.73399999999674,9564
30.406000000002678,9650
31.015999999988708,9879
38.98500000000058,10034
23.531000000002678,11978
31.375,12880
35.65600000000268,13867
34.328000000008615,13921
30.718999999997322,14880
28.718999999997322,15020
30.125,16940
31.25,16989
32.0630000000092,17137
60.34399999999732,17656
21.078000000008615,18557
33.73500000000058,18892
31.297000000005937,19280
38.875,20020
25.686999999990803,20230
33.32799999999406,22204
27.953000000008615,23972
28.5,24900
25.53200000000652,25720
24.812999999994645,26900
28.889999999999418,27543
35.078000000008615,27669
25.593000000008033,28713
27.14100000000326,28993
21.593999999997322,29016
26.875,30240
