,cdf,Number of Total Tokens
0,0.0,1529.967763160161
1,0.01,1529.967763160161
2,0.02,1608.4109146042197
3,0.03,1697.652984860695
4,0.04,1749.354232822977
5,0.05,1749.354232822977
6,0.06,1817.1089020181566
7,0.07,1839.045572940629
8,0.08,1864.9732901399614
9,0.09,1891.2665483183014
10,0.1,1891.2665483183014
11,0.11,1972.391468700666
12,0.12,2184.193786478932
13,0.13,2268.790333412844
14,0.14,2268.790333412844
15,0.15,2370.845900130317
16,0.16,2375.5923383688164
17,0.17,2404.271184922738
18,0.18,2404.271184922738
19,0.19,2404.271184922738
20,0.2,2522.4908150230062
21,0.21,2573.448526847987
22,0.22,2678.4729892859104
23,0.23,2678.4729892859104
24,0.24,2765.5702784240657
25,0.25,2782.2135856341033
26,0.26,2782.2135856341033
27,0.27,2861.2164713094735
28,0.28,2861.2164713094735
29,0.29,2872.684261306917
30,0.3,2889.972184543352
31,0.31,3193.9133188687024
32,0.32,3193.9133188687024
33,0.33,3543.967794435271
34,0.34,3695.98449743088
35,0.35000000000000003,3703.3838657941005
36,0.36,3793.3402675119823
37,0.37,3793.3402675119823
38,0.38,3963.9737037761442
39,0.39,4011.8279554329893
40,0.4,4354.662081288839
41,0.41000000000000003,4354.662081288839
42,0.42,4389.639111173677
43,0.43,4812.646050708823
44,0.44,5009.053928739618
45,0.45,5234.373046988384
46,0.46,5234.373046988384
47,0.47000000000000003,5244.852272307681
48,0.48,5693.055526284359
49,0.49,5738.7826503554825
50,0.5,5854.713789046407
51,0.51,5854.713789046407
52,0.52,5866.434937773228
53,0.53,6788.616477818716
54,0.54,7427.929794804708
55,0.55,7427.929794804708
56,0.56,7731.069463458378
57,0.5700000000000001,7824.4011985625875
58,0.58,8014.458455095138
59,0.59,8408.534763939542
60,0.6,8408.534763939542
61,0.61,9828.116272746958
62,0.62,10046.73084654443
63,0.63,10107.192455218807
64,0.64,10107.192455218807
65,0.65,10229.209443080117
66,0.66,10270.208237442368
67,0.67,10477.68027604377
68,0.68,12493.985460508948
69,0.6900000000000001,12493.985460508948
70,0.7000000000000001,13534.573234010468
71,0.71,14228.505879841674
72,0.72,14342.79049391409
73,0.73,14342.79049391409
74,0.74,15168.902287836036
75,0.75,15260.189319225223
76,0.76,17518.325036869133
77,0.77,17553.396758664672
78,0.78,17553.396758664672
79,0.79,17765.306505977398
80,0.8,18015.770034355304
81,0.81,19322.06120428897
82,0.8200000000000001,19322.06120428897
83,0.8300000000000001,19555.32278685653
84,0.84,19870.724542077627
85,0.85,20353.39092074889
86,0.86,20599.103017744845
87,0.87,20599.103017744845
88,0.88,22765.530352507358
89,0.89,24416.21812336743
90,0.9,25412.66322666797
91,0.91,25412.66322666797
92,0.92,26186.59430361992
93,0.93,27419.313225860853
94,0.9400000000000001,28141.564186614123
95,0.9500000000000001,28310.921191128833
96,0.96,28310.921191128833
97,0.97,29348.68232451186
98,0.98,29407.43844528166
99,0.99,29584.41352927193
100,1.0,30485.393360448143
