,cdf,Time to First Token
0,0.0,7.177851878292304
1,0.01,7.177851878292304
2,0.02,8.044593050394523
3,0.03,17.72543224562198
4,0.04,20.06547145173793
5,0.05,20.06547145173793
6,0.06,20.307707700568226
7,0.07,20.635244439444325
8,0.08,21.09425052394139
9,0.09,21.606636747685542
10,0.1,21.606636747685542
11,0.11,22.131468999885865
12,0.12,22.66904959863203
13,0.13,22.759907421815107
14,0.14,22.759907421815107
15,0.15,22.89687741106054
16,0.16,22.942717005477082
17,0.17,23.406190788883727
18,0.18,23.54705013603367
19,0.19,23.54705013603367
20,0.2,24.16730197981858
21,0.21,24.803891850978285
22,0.22,25.003118897839112
23,0.23,25.003118897839112
24,0.24,25.20394615391064
25,0.25,25.355624461280854
26,0.26,25.50821557447864
27,0.27,25.61045280900837
28,0.28,25.61045280900837
29,0.29,25.66172498680418
30,0.3,26.075615015164104
31,0.31,26.869735986699773
32,0.32,26.869735986699773
33,0.33,27.031439080693858
34,0.34,27.13978141333958
35,0.35000000000000003,27.303109650990756
36,0.36,27.35777053117292
37,0.37,27.35777053117292
38,0.38,27.467420804193367
39,0.39,27.522410635633197
40,0.4,27.743473065124977
41,0.41000000000000003,27.743473065124977
42,0.42,27.85466923853611
43,0.43,27.966311087546437
44,0.44,28.022299698332315
45,0.45,28.13461341223975
46,0.46,28.13461341223975
47,0.47000000000000003,28.47426270638485
48,0.48,28.531268237328565
49,0.49,28.588387893459355
50,0.5,28.70297049565497
51,0.51,28.70297049565497
52,0.52,28.81801234629703
53,0.53,28.875706064708037
54,0.54,29.341433400192315
55,0.55,29.341433400192315
56,0.56,29.400175008601114
57,0.5700000000000001,29.755102533038666
58,0.58,29.874361341528978
59,0.59,29.99409814075676
60,0.6,29.99409814075676
61,0.61,30.1143148465146
62,0.62,30.416968843737266
63,0.63,30.722664565219695
64,0.64,30.722664565219695
65,0.65,31.031432580809184
66,0.66,31.28067978403353
67,0.67,31.28067978403353
68,0.68,31.28067978403353
69,0.6900000000000001,31.28067978403353
70,0.7000000000000001,31.406053124477214
71,0.71,31.406053124477214
72,0.72,32.04049769614657
73,0.73,32.04049769614657
74,0.74,32.04049769614657
75,0.75,32.16891639591199
76,0.76,33.348095657277305
77,0.77,33.75068363618836
78,0.78,33.75068363618836
79,0.79,34.295037977704055
80,0.8,34.57049874730132
81,0.81,35.05788966797693
82,0.8200000000000001,35.05788966797693
83,0.8300000000000001,35.623327531424515
84,0.84,37.1513721173722
85,0.85,37.30027526323027
86,0.86,38.900251672510336
87,0.87,38.900251672510336
88,0.88,38.900251672510336
89,0.89,38.97813005423709
90,0.9,39.5276618047685
91,0.91,39.5276618047685
92,0.92,41.471263502693624
93,0.93,42.648868811730225
94,0.9400000000000001,45.558662123888844
95,0.9500000000000001,46.66529688287211
96,0.96,46.66529688287211
97,0.97,49.05787863440143
98,0.98,54.76223611076494
99,0.99,55.202091220817465
100,1.0,60.40071043259002
