ttft,prompt_length
10.75,975
18.515999999988708,981
17.952999999994063,990
4.282000000006519,1000
16.546999999991385,1001
16.672000000005937,1016
15.90700000000652,1024
9.812999999994645,1027
11.10899999999674,1042
22.139999999999418,1043
13.73399999999674,1074
8.85899999999674,1098
6.359000000011292,1154
20.0,1176
23.03200000000652,1247
16.093999999997322,1253
21.375,1325
7.25,1325
7.360000000000582,1405
13.25,1474
13.484000000011292,1484
19.796999999991385,1493
8.985000000000582,1569
18.125,1588
25.889999999999418,1595
10.828000000008615,1691
16.671999999991385,2115
22.125,2251
28.235000000000582,2360
11.797000000005937,2484
14.547000000005937,2496
14.468999999997322,2650
14.25,2655
11.828000000008615,2749
5.297000000005937,2940
19.562000000005355,3021
27.0,3426
9.375,3455
12.468999999997322,3588
11.26600000000326,3731
15.360000000000582,3988
9.328999999997905,4861
20.327999999994063,5042
26.686999999990803,5408
6.7810000000026776,6387
14.64100000000326,6906
16.35899999999674,7072
15.264999999999418,7206
18.969000000011874,7737
11.687000000005355,7860
20.780999999988126,9347
14.25,9538
26.281000000002678,9564
7.25,9650
11.702999999994063,9879
20.718999999997322,10034
20.235000000000582,10453
17.26600000000326,11978
9.421999999991385,12880
23.73399999999674,13867
20.10899999999674,13921
20.765999999988708,14880
12.64100000000326,15020
17.25,16940
13.64100000000326,16989
17.296000000002095,17137
34.9369999999908,17656
22.562000000005355,18557
18.453000000008615,18892
18.0,19280
20.030999999988126,20020
11.703000000008615,20230
17.21799999999348,22020
16.922000000005937,22204
16.406000000002678,23972
22.389999999999418,24900
16.188000000009197,25720
21.593000000008033,26900
13.280999999988126,27543
12.65700000000652,27669
13.686999999990803,28713
21.343999999997322,28993
10.937000000005355,29016
18.922000000005937,30240
