Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
8416.11905,4861.01396,20231.63616,28710.06169
1032.83333,643.55124,1598.78934,3174.80721
9448.95238,5831.34170,20764.55683,29173.11739
0.01062,0.01056,0.01116,0.01137
55.61288,42.99143,80.88278,150.95793
0.01061,0.01501,0.01600,0.03102
66.58852,53.35677,139.07330,169.52514
0.10261,0.07785,0.18919,0.33121
17.38600,12.81992,33.14861,52.72031
0.54994,0.57178,0.78114,0.86502
0.83196,0.60351,1.61446,2.87772
