,cdf,Output Throughput
0,0.0,2.332637921522763
1,0.01,2.332637921522763
2,0.02,2.332637921522763
3,0.03,2.332637921522763
4,0.04,2.332637921522763
5,0.05,2.332637921522763
6,0.06,2.389298457274668
7,0.07,2.389298457274668
8,0.08,2.389298457274668
9,0.09,2.389298457274668
10,0.1,2.389298457274668
11,0.11,2.389298457274668
12,0.12,3.0434747452882664
13,0.13,3.0434747452882664
14,0.14,3.0434747452882664
15,0.15,3.0434747452882664
16,0.16,3.0434747452882664
17,0.17,3.0434747452882664
18,0.18,3.193124444067587
19,0.19,3.193124444067587
20,0.2,3.193124444067587
21,0.21,3.193124444067587
22,0.22,3.193124444067587
23,0.23,3.193124444067587
24,0.24,3.218771901211521
25,0.25,3.218771901211521
26,0.26,3.218771901211521
27,0.27,3.218771901211521
28,0.28,3.218771901211521
29,0.29,3.218771901211521
30,0.3,3.3702937441436616
31,0.31,3.3702937441436616
32,0.32,3.3702937441436616
33,0.33,3.3702937441436616
34,0.34,3.3702937441436616
35,0.35000000000000003,3.3702937441436616
36,0.36,8.784600315263162
37,0.37,8.784600315263162
38,0.38,8.784600315263162
39,0.39,8.784600315263162
40,0.4,8.784600315263162
41,0.41000000000000003,8.784600315263162
42,0.42,11.30223290413684
43,0.43,11.30223290413684
44,0.44,11.30223290413684
45,0.45,11.30223290413684
46,0.46,11.30223290413684
47,0.47000000000000003,11.30223290413684
48,0.48,12.219100403925715
49,0.49,12.219100403925715
50,0.5,12.219100403925715
51,0.51,12.219100403925715
52,0.52,12.219100403925715
53,0.53,12.540963206745749
54,0.54,12.540963206745749
55,0.55,12.540963206745749
56,0.56,12.540963206745749
57,0.5700000000000001,12.540963206745749
58,0.58,12.540963206745749
59,0.59,16.29731597809612
60,0.6,16.29731597809612
61,0.61,16.29731597809612
62,0.62,16.29731597809612
63,0.63,16.29731597809612
64,0.64,16.29731597809612
65,0.65,16.428217457330952
66,0.66,16.428217457330952
67,0.67,16.428217457330952
68,0.68,16.428217457330952
69,0.6900000000000001,16.428217457330952
70,0.7000000000000001,16.428217457330952
71,0.71,16.72660288349453
72,0.72,16.72660288349453
73,0.73,16.72660288349453
74,0.74,16.72660288349453
75,0.75,16.72660288349453
76,0.76,16.72660288349453
77,0.77,18.375173189504977
78,0.78,18.375173189504977
79,0.79,18.375173189504977
80,0.8,18.375173189504977
81,0.81,18.375173189504977
82,0.8200000000000001,18.375173189504977
83,0.8300000000000001,18.522764201112988
84,0.84,18.522764201112988
85,0.85,18.522764201112988
86,0.86,18.522764201112988
87,0.87,18.522764201112988
88,0.88,18.522764201112988
89,0.89,22.66904959863203
90,0.9,22.66904959863203
91,0.91,22.66904959863203
92,0.92,22.66904959863203
93,0.93,22.66904959863203
94,0.9400000000000001,22.66904959863203
95,0.9500000000000001,32.104642836679396
96,0.96,32.104642836679396
97,0.97,32.104642836679396
98,0.98,32.104642836679396
99,0.99,32.104642836679396
100,1.0,51.16219148331339
