Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
9453.16667,3733.12977,22225.66178,27694.88200
613.05556,559.47655,950.51295,1227.82780
10066.22222,5602.69145,22359.41666,27805.88342
0.01207,0.01178,0.01318,0.01321
36.55111,37.67515,50.24951,51.05997
0.01172,0.01501,0.01600,0.03197
43.74217,40.00485,56.76959,58.49848
0.15809,0.07974,0.32857,0.41853
14.14977,12.21910,22.66905,32.10464
0.60291,0.57407,0.86329,0.88958
1.34065,0.60957,2.85479,3.76219
