,cdf,End to End Latency
0,0.0,14.4255420623445
1,0.01,14.4255420623445
2,0.02,14.4255420623445
3,0.03,19.58963288116988
4,0.04,19.58963288116988
5,0.05,24.11901566217658
6,0.06,24.11901566217658
7,0.07,24.11901566217658
8,0.08,29.341433400192315
9,0.09,29.341433400192315
10,0.1,37.90187987065511
11,0.11,37.90187987065511
12,0.12,37.90187987065511
13,0.13,41.720839145102175
14,0.14,41.720839145102175
15,0.15,46.01653444375361
16,0.16,46.01653444375361
17,0.17,46.01653444375361
18,0.18,53.46358812161941
19,0.19,53.46358812161941
20,0.2,56.317247811205746
21,0.21,56.317247811205746
22,0.22,56.99712612291374
23,0.23,56.99712612291374
24,0.24,56.99712612291374
25,0.25,58.03236392716473
26,0.26,58.03236392716473
27,0.27,59.44198897043598
28,0.28,59.44198897043598
29,0.29,59.44198897043598
30,0.3,61.99172297111608
31,0.31,61.99172297111608
32,0.32,62.115830524611816
33,0.33,62.115830524611816
34,0.34,62.115830524611816
35,0.35000000000000003,63.117677550509406
36,0.36,63.117677550509406
37,0.37,64.65082651993593
38,0.38,64.65082651993593
39,0.39,64.65082651993593
40,0.4,66.35379118512954
41,0.41000000000000003,66.35379118512954
42,0.42,68.92375619692676
43,0.43,68.92375619692676
44,0.44,69.20000343995328
45,0.45,69.20000343995328
46,0.46,69.20000343995328
47,0.47000000000000003,74.06928470764261
48,0.48,74.06928470764261
49,0.49,74.36615529076886
50,0.5,74.36615529076886
51,0.51,74.36615529076886
52,0.52,74.36615529076886
53,0.53,74.36615529076886
54,0.54,75.11354782722691
55,0.55,75.11354782722691
56,0.56,75.11354782722691
57,0.5700000000000001,75.26392530035449
58,0.58,75.26392530035449
59,0.59,75.41460382948434
60,0.6,75.41460382948434
61,0.61,77.09211058833333
62,0.62,77.09211058833333
63,0.63,77.09211058833333
64,0.64,77.71132121951409
65,0.65,77.71132121951409
66,0.66,78.80693145854929
67,0.67,78.80693145854929
68,0.68,78.80693145854929
69,0.6900000000000001,81.53243911452779
70,0.7000000000000001,81.53243911452779
71,0.71,83.51288864712096
72,0.72,83.51288864712096
73,0.73,83.51288864712096
74,0.74,84.69029207376887
75,0.75,84.69029207376887
76,0.76,85.1999614752981
77,0.77,85.1999614752981
78,0.78,85.1999614752981
79,0.79,88.67703904662787
80,0.8,88.67703904662787
81,0.81,89.92724906007459
82,0.8200000000000001,89.92724906007459
83,0.8300000000000001,90.287678554875
84,0.84,90.287678554875
85,0.85,90.287678554875
86,0.86,90.46843466809798
87,0.87,90.46843466809798
88,0.88,91.19508511397694
89,0.89,91.19508511397694
90,0.9,91.19508511397694
91,0.91,91.37765785694788
92,0.92,91.37765785694788
93,0.93,98.98823767054662
94,0.9400000000000001,98.98823767054662
95,0.9500000000000001,98.98823767054662
96,0.96,101.39269424213863
97,0.97,101.39269424213863
98,0.98,111.38593591459616
99,0.99,111.38593591459616
100,1.0,152.17043491294038
