,cdf,Output Throughput
0,0.0,5.841572874092177
1,0.01,5.841572874092177
2,0.02,5.841572874092177
3,0.03,8.207104664696484
4,0.04,8.207104664696484
5,0.05,8.207104664696484
6,0.06,8.980003137188218
7,0.07,8.980003137188218
8,0.08,8.980003137188218
9,0.09,9.290573119398362
10,0.1,9.290573119398362
11,0.11,9.290573119398362
12,0.12,9.327809848096624
13,0.13,9.327809848096624
14,0.14,9.327809848096624
15,0.15,10.084506844740538
16,0.16,10.084506844740538
17,0.17,10.084506844740538
18,0.18,10.751016321791406
19,0.19,10.751016321791406
20,0.2,10.751016321791406
21,0.21,11.393013435593469
22,0.22,11.393013435593469
23,0.23,11.393013435593469
24,0.24,11.62316765142312
25,0.25,11.62316765142312
26,0.26,11.62316765142312
27,0.27,11.646437256330875
28,0.28,11.646437256330875
29,0.29,11.646437256330875
30,0.3,12.667002024593316
31,0.31,12.667002024593316
32,0.32,12.667002024593316
33,0.33,12.692361388005915
34,0.34,12.692361388005915
35,0.35000000000000003,12.692361388005915
36,0.36,13.236793799175965
37,0.37,13.236793799175965
38,0.38,13.236793799175965
39,0.39,13.667221457547209
40,0.4,13.667221457547209
41,0.41000000000000003,13.667221457547209
42,0.42,14.775943182990996
43,0.43,14.775943182990996
44,0.44,14.775943182990996
45,0.45,14.984261281160485
46,0.46,14.984261281160485
47,0.47000000000000003,14.984261281160485
48,0.48,15.044318380426558
49,0.49,15.044318380426558
50,0.5,15.317568071876252
51,0.51,15.317568071876252
52,0.52,15.317568071876252
53,0.53,15.879046686281892
54,0.54,15.879046686281892
55,0.55,15.879046686281892
56,0.56,16.461106781569853
57,0.5700000000000001,16.461106781569853
58,0.58,16.461106781569853
59,0.59,16.560170348791516
60,0.6,16.560170348791516
61,0.61,16.560170348791516
62,0.62,17.13289752182806
63,0.63,17.13289752182806
64,0.64,17.13289752182806
65,0.65,17.167197616966856
66,0.66,17.167197616966856
67,0.67,17.167197616966856
68,0.68,17.23600395129705
69,0.6900000000000001,17.23600395129705
70,0.7000000000000001,17.23600395129705
71,0.71,17.72543224562198
72,0.72,17.72543224562198
73,0.73,17.72543224562198
74,0.74,18.0113202620591
75,0.75,18.0113202620591
76,0.76,18.0113202620591
77,0.77,18.192337100740414
78,0.78,18.192337100740414
79,0.79,18.192337100740414
80,0.8,18.671540676742623
81,0.81,18.671540676742623
82,0.8200000000000001,18.671540676742623
83,0.8300000000000001,18.93478071465443
84,0.84,18.93478071465443
85,0.85,18.93478071465443
86,0.86,21.263681404501444
87,0.87,21.263681404501444
88,0.88,21.263681404501444
89,0.89,21.99907771279114
90,0.9,21.99907771279114
91,0.91,21.99907771279114
92,0.92,22.805472802038963
93,0.93,22.805472802038963
94,0.9400000000000001,22.805472802038963
95,0.9500000000000001,23.266174067691793
96,0.96,23.266174067691793
97,0.97,23.266174067691793
98,0.98,29.400175008601114
99,0.99,29.400175008601114
100,1.0,58.73294762300674
